Index,Item,Type,Actuals_24_25,Budget_25_26,Revised_25_26,Budget_26_27,Percent_Change
53,"पुन! र""वि#त वेतन का अवशर्ष- (रज्य सहयत) रजव",,408.3,3649.44,3649.44,2290.04,-37.25
54,पुश न अवशर्ष- I का भग! तन रजव,,0.0,0.08,0.08,0.08,0.0
55,मेंकान विकारय भत्ता रजव,,160435.0,289786.1,234965.15,301093.66,3.9
56,नगर प्रवितकार भत्ता रजव,,0.0,0.01,0.01,0.0,-100.0
57,"प्रस्थिQcटस बन्द"" भत्ता रजव",,25370.79,58443.48,58443.48,58192.54,-0.43
58,आउट सHविसग& सव- ओं हत- !भग! तन रजव,,136750.37,179693.07,183700.67,222383.65,23.76
,"पुज3( """,,175.08,173.37,173.37,103.37,-40.38
2024,2025,,-2026.0,2025.0,-2026.0,2026.0,-2027.0
59,एकामेंश्!त विनयHक्ता अश3 दन / विनयHक्ता एव 3 रजव,,0.0,458335.18,458335.18,462028.16,0.81
60,भवि(में क्रय पुज3(,,461803.59,736106.09,814891.95,839617.39,14.06
61,"का-न्द्र प्रयHविजत यHजनओं का"" )नरविश का रजव",,181248.61,249486.82,249486.82,310629.26,24.51
62,"का-न्द्र प्रयHविजत यHजनओं में भग! तविनत वेतन का"" रजव",,0.0,-7720.68,-7720.68,-26112.36,238.21
63,समेंविजका पुश न रजव,,0.0,1364813.26,1418313.26,1532464.69,12.28
64,रिरसच &एण्डी डीव- लपुमेंन्ट रजव,,0.0,0.0,100.0,1401.0,0.0
,62061994.5984058232.9074527588.78,,0.0,0.0,0.0,94003693.46,11.83
,6720977.471.001074914,,0.0,0.0,8119145.92,10193136.78,1.82
